SampleID	Bug_ID	Microbiome_ID	County	State	CollAlive	Sp_by_key	Sex	Life_stage	Days_from_Capture_to_Dissection	Blood_meal	Days_from_Dissection_to_Extraction	Days_from_Capture_to_Extraction	MachRes1	Strain_type	Strain_TcIV	Strain_TcI
Tri1548	PS1060	Gerst-F-Pos-Symp-10	Hays	Texas	Alive	gerstaeckeri	F	Adult	33	1	10	43	Positive	TcI	n	p
Tri1552	PS1064	Gerst-F-Pos-Symp-11	Fayette	Texas	Alive	gerstaeckeri	F	Adult	23	2	17	40	Positive	TcI	n	p
Tri1578	PS1090	Gerst-F-Pos-Symp-13	Medina	Texas	Alive	gerstaeckeri	F	Adult	58	1	59	117	Positive	TcI	n	p
Tri1602	PS1114	Gerst-F-Pos-Symp-14	Bexar	Texas	Alive	gerstaeckeri	F	Adult	16	1	3	19	Positive	TcI	n	p
Tri1637	PS1149	Gerst-F-Pos-Symp-16	Kendall	Texas	Alive	gerstaeckeri	F	Adult	14	1	3	17	Positive	TcI	n	p
Tri1669	PS1179	Gerst-M-Pos-Symp-19	Bexar	Texas	Alive	gerstaeckeri	M	Adult	20	3	14	34	Positive	TcI	n	p
Tri1670	PS1180	Gerst-F-Pos-Symp-18	Bexar	Texas	Alive	gerstaeckeri	F	Adult	20	2	14	34	Positive	TcI	n	p
Tri1674	PS1184	Gerst-F-Pos-Symp-19	Fayette	Texas	Alive	gerstaeckeri	F	Adult	28	1	23	51	Positive	TcI	n	p
Tri1715	Barnes035	Pro-1-M-Pos	Uvalde	Texas	Alive	protracta	M	Adult	16	1	43	59	Positive	TcI	n	p
Tri1770	PS1266	Sang-F-Pos-Symp-4	Stephenville_area	Texas	Alive	sanguisuga	F	Adult	25	1	3	28	Positive	TcI	n	p
Tri1781	PS1277	Gerst-F-Pos-Symp-20	Comal	Texas	Alive	gerstaeckeri	F	Adult	14	2	6	20	Positive	TcI	n	p
Tri2037	PS1439	Sang-M-Pos-Symp-4	Washington	Texas	Alive	sanguisuga	M	Adult	21	2	3	24	Positive	TcI	n	p
Tri1103	PS693	Sang-M-Pos-Symp-1	Guadalupe	Texas	Alive	sanguisuga	M	Adult	24	4	43	67	Positive	TcI/TcIV_mixed	p	p
Tri1223	PS813	Gerst-M-Pos-Symp-5	Bexar	Texas	Alive	gerstaeckeri	M	Adult	30	1	104	134	Positive	TcI/TcIV_mixed	p	p
Tri1523	PS1044	Gerst-M-Pos-Symp-13	Comal	Texas	Alive	gerstaeckeri	M	Adult	16	1	20	36	Positive	TcI/TcIV_mixed	p	p
Tri1581	PS1093	Gerst-M-Pos-Symp-17	Medina	Texas	Alive	gerstaeckeri	M	Adult	59	3	9	68	Positive	TcI/TcIV_mixed	p	p
Tri1676	PS1186	Gerst-F-Pos-Symp-BU1	Goliad	Texas	Alive	gerstaeckeri	F	Adult	22	1	22	44	Positive	TcI/TcIV_mixed	p	p
Tri2223	PS1605	Gerst-F-Pos-Symp-BU2	Hays	Texas	alive	gerstaeckeri	F	Adult	40	1	74	114	Positive	TcI/TcIV_mixed	p	p
Tri328	PS046	Gerst-M-Pos-Symp-1	Comal	Texas	Alive	gerstaeckeri	M	Adult	8	2	22	30	Positive	TcIV	p	n
Tri480	PS187	Gerst-M-Pos-Symp-2	Blanco	Texas	Alive	gerstaeckeri	M	Adult	45	4	26	71	Positive	TcIV	p	n
Tri535	PS242	Ind-2-M-unk	Comal	Texas	Alive	indictiva	M	Adult	46	4	5	51	Positive	TcIV	p	n
Tri1097	PS687	Sang-F-Pos-Symp-1	Hamilton	Texas	Alive	sanguisuga	F	Adult	47	1	31	78	Positive	TcIV	p	n
Tri1201	PS791	Gerst-F-Pos-Symp-4	Bee	Texas	Alive	gerstaeckeri	F	Adult	20	2	37	57	Positive	TcIV	p	n
Tri1245	SNBL002	Gerst-M-Pos-Symp-3	Jim_Wells	Texas	Alive	gerstaeckeri	M	Adult	46	1	3	49	Positive	TcIV	p	n
Tri1296	PS866	Gerst-M-Pos-Symp-8	Blanco	Texas	Alive	gerstaeckeri	M	Adult	43	3	100	143	Positive	TcIV	p	n
Tri1303	PS873	Gerst-F-Pos-Symp-7	Bastrop/Travis	Texas	Alive	gerstaeckeri	F	Adult	40	1	17	57	Positive	TcIV	p	n
Tri1315	PS885	Gerst-M-Pos-Symp-9	Medina	Texas	Alive	gerstaeckeri	M	Adult	37	4	99	136	Positive	TcIV	p	n
Tri1415	PS944	Sang-F-Pos-Symp-2	Bell	Texas	Alive	sanguisuga	F	Adult	9	2	12	21	Positive	TcIV	p	n
Tri1430	EL003	Gerst-M-Pos-Symp-14	Bexar	Texas	Alive	gerstaeckeri	M	Adult	11	1	39	50	Positive	TcIV	p	n
Tri1506	PS1027	Gerst-M-Pos-Symp-12	Bandera	Texas	Alive	gerstaeckeri	M	Adult	22	2	22	44	Positive	TcIV	p	n
Tri1559	PS1071	Gerst-F-Pos-Symp-12	Coryell	Texas	Alive	gerstaeckeri	F	Adult	16	1	18	34	Positive	TcIV	p	n
Tri1626	PS1138	Gerst-F-Pos-Symp-15	Bastrop	Texas	Alive	gerstaeckeri	F	Adult	28	1	8	36	Positive	TcIV	p	n
Tri1632	PS1144	Gerst-M-Pos-Symp-18	Hays	Texas	Alive	gerstaeckeri	M	Adult	30	1	8	38	Positive	TcIV	p	n
Tri1641	PS1151	Gerst-F-Pos-Symp-17	Bexar	Texas	Alive	gerstaeckeri	F	Adult	23	4	8	31	Positive	TcIV	p	n
Tri1651	PS1161	Gerst-M-Pos-Symp-BU1	Gillespie	Texas	Alive	gerstaeckeri	M	Adult	7	1	3	10	Positive	TcIV	p	n
Tri1682	PS1192	Sang-F-Pos-Symp-3	Fayette	Texas	Alive	sanguisuga	F	Adult	36	2	22	58	Positive	TcIV	p	n
Tri1712	Barnes032	Gerst-M-Pos-Symp-20	Uvalde	Texas	Alive	gerstaeckeri	M	Adult	19	2	36	55	Positive	TcIV	p	n
Tri1736	PS1233	Sang-M-Pos-Symp-3	Austin	Texas	Alive	sanguisuga	M	Adult	14	3	21	35	Positive	TcIV	p	n
Tri1765	PS1261	Ind-6-F-Pos	Blanco	Texas	Alive	indictiva	F	Adult	32	1	4	36	Positive	TcIV	p	n
Tri1834	PS1280	Sang-M-Pos-Symp-BU	Brazos?	Texas	Alive	sanguisuga	M	Adult	4	1	6	10	Positive	TcIV	p	n
Tri2088	PS1490	Sang-M-Pos-Symp-5	McLennan	Texas	Alive	sanguisuga	M	Adult	58	1	18	76	Positive	TcIV	p	n
